title,partner,category
Молоко 1 л,ВкусВилл,Молочные продукты
Молоко 1 л,Перекрёсток,Молочные продукты
Молоко 1 л,Магнит,Молочные продукты
Молоко 1 л,Лента,Молочные продукты
Молоко 1 л,О’кей,Молочные продукты
Молоко ультрапастеризованное 1 л,Перекрёсток,Молочные продукты
Молоко фермерское 1 л,ВкусВилл,Молочные продукты
Молоко 3.2% 1 л,Магнит,Молочные продукты
Молоко пастеризованное 1 л,Лента,Молочные продукты
Молоко 1.5% 1 л,О’кей,Молочные продукты
Говядина филе,Перекрёсток,Мясо
Говядина филе,Магнит,Мясо
Говядина филе,Лента,Мясо
Мясо говядина охлаждённая,ВкусВилл,Мясо
Мясо гов. охлаждённая,Перекрёсток,Мясо
Говядина нарезка,О’кей,Мясо
Говядина стейк,Магнит,Мясо
Сыр Пармезан,Магнит,Сыры
Сыр Пармезан,Перекрёсток,Сыры
Сыр Пармезан,О’кей,Сыры
Сыр Пармезан,Лента,Сыры
Сыр Пармезан,ВкусВилл,Сыры
Сыр Пармезан выдержанный,Перекрёсток,Сыры
Органические бананы,ВкусВилл,Фрукты
Бананы,Перекрёсток,Фрукты
Бананы,Магнит,Фрукты
Яблоки Гала,ВкусВилл,Фрукты
Яблоки Гала,Перекрёсток,Фрукты
Яблоки Гала,Магнит,Фрукты
Хлеб Бородинский,Магнит,Хлеб и выпечка
Хлеб Бородинский,Перекрёсток,Хлеб и выпечка
Хлеб Бородинский,Лента,Хлеб и выпечка
Сок апельсиновый,ВкусВилл,Напитки
Сок апельсиновый,Лента,Напитки
Сок апельсиновый,О’кей,Напитки